Short_Name,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,UPN,Geodetic_UPS,Seismic_UPS,M56_SP_Name,M56_UP_Name,M56_ARC_Name,M56_ARC_ref,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,alphaS,alphaD,A,Phi
NPA45,NPA,45,Cascadia,234.4,46.0,230.3,45.5,245.8,46.8,80.0,1,SS,-999,JUAN_DE_FUCA,NORTH_AMERICA,DEF_OREGON,Mazzotti et al. (2002),37.0,47.0,33.0,31.0,33.0,54.0,26.0,30.0,6.0,0.0,80.0,1.0,20.0,57.0,7.0,124.0
NPA46,NPA,46,Cascadia,234.6,44.0,230.9,43.9,245.8,43.6,89.0,1,SS,-999,JUAN_DE_FUCA,NORTH_AMERICA,DEF_OREGON,Mazzotti et al. (2002),33.0,44.0,45.0,23.0,30.0,51.0,38.0,23.0,6.0,0.0,89.0,0.0,21.0,65.0,8.0,116.0
NPA47,NPA,47,Cascadia,234.7,42.0,231.1,41.8,245.6,42.1,86.0,1,SS,-999,JUAN_DE_FUCA,NORTH_AMERICA,DEF_OREGON,Mazzotti et al. (2002),31.0,38.0,48.0,21.0,26.0,46.0,40.0,20.0,6.0,0.0,86.0,0.0,24.0,64.0,6.0,78.0
NPA5,NPA,5,Kurils,145.5,41.5,147.8,39.4,137.7,47.4,318.5,1,SS,-999,PACIFIC,OKHOTSK,DEF_KURIL_FOREARC,Demets (1992),91.0,293.0,26.0,82.0,87.0,297.0,21.0,81.0,9.0,232.0,87.0,1.0,22.0,33.0,130.0,4840.0
NPA6,NPA,6,Kurils,147.0,42.2,149.1,40.0,139.8,48.5,324.0,1,SS,-999,PACIFIC,OKHOTSK,DEF_KURIL_FOREARC,Demets (1992),91.0,293.0,31.0,78.0,87.0,298.0,26.0,78.0,9.0,235.0,89.0,0.0,23.0,35.0,126.0,4739.0
NPA7,NPA,7,Kurils,149.0,43.5,151.4,41.4,140.8,49.3,318.9,2,SS,-999,PACIFIC,OKHOTSK,DEF_KURIL_FOREARC,Demets (1992),90.0,295.0,24.0,82.0,86.0,299.0,19.0,81.0,9.0,235.0,90.0,0.0,25.0,39.0,120.0,5112.0
NPA8,NPA,8,Kurils,151.0,44.4,152.9,42.1,144.4,51.2,329.4,2,SS,-999,PACIFIC,OKHOTSK,DEF_KURIL_FOREARC,Demets (1992),89.0,296.0,34.0,74.0,86.0,301.0,29.0,75.0,9.0,235.0,94.0,-1.0,26.0,43.0,117.0,4916.0
NPA9,NPA,9,Kurils,153.0,45.3,155.5,43.3,144.4,51.0,318.3,2,SS,-999,PACIFIC,OKHOTSK,DEF_KURIL_FOREARC,Demets (1992),89.0,297.0,22.0,82.0,85.0,302.0,16.0,81.0,9.0,235.0,83.0,1.0,25.0,44.0,116.0,5249.0
SAM1,SAM,1,Central America,254.5,19.1,252.2,17.5,261.7,23.6,54.9,1,E,-999,RIVERA,NORTH_AMERICA,DEF_JALISCO,Selvans et al. (2010),31.0,38.0,17.0,30.0,33.0,38.0,17.0,32.0,3.0,225.0,170.0,-3.0,30.0,50.0,10.0,203.0
SAM10,SAM,10,Central America,272.0,11.4,270.6,9.1,276.5,18.2,32.0,1,SS-E,-999,COCOS,CARIBBEAN,CENTRAL AMERICAN FOREARC,"Carvajal-Soto et al., (2020)",74.0,22.0,10.0,72.0,75.0,29.0,3.0,75.0,9.0,287.0,105.0,-2.0,34.0,68.0,25.0,1393.0
SAM11,SAM,11,Central America,274.0,9.4,272.6,7.1,278.2,16.4,30.0,1,C-SS,-999,COCOS,CARIBBEAN,PANAMA,Argus et al. (2011),77.0,23.0,7.0,76.0,67.0,27.0,3.0,67.0,11.0,359.0,31.0,9.0,32.0,67.0,19.0,923.0
SAM12,SAM,12,Central America,276.0,8.4,274.7,6.0,280.1,15.4,29.0,1,C-SS,-999,COCOS,CARIBBEAN,PANAMA,Argus et al. (2011),80.0,24.0,5.0,79.0,70.0,28.0,1.0,70.0,11.0,359.0,30.0,10.0,36.0,58.0,16.0,804.0
SAM13,SAM,13,Panama,279.0,10.0,277.9,12.5,282.2,2.5,157.0,1,SS-E,-999,CARIBBEAN,NAZCA,PANAMA,Argus et al. (2011),35.0,248.0,91.0,-1.0,11.0,180.0,23.0,10.0,33.0,267.0,110.0,-11.0,-999.0,-999.0,-999.0,-999.0
