lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature
147.157476,20.476772,901,699,254.307555,55.597542,6.469061,-23.988591,5.910305,-2.630027,-0.670220,5.807589,0.670248,5.807827,144.350357,610.908461,45,10186.753245,oceanic
147.012660,20.958076,901,699,254.256325,55.597542,6.300411,-24.674903,5.725128,-2.630227,-0.853968,5.807789,0.853973,5.807827,143.693176,555.310919,45,10186.753245,oceanic
146.708354,21.366590,901,699,233.378860,55.597542,6.116632,-4.076120,6.101160,-0.434781,1.078092,5.738632,-1.078149,5.738947,142.686462,499.713377,45,10186.753245,oceanic
146.387196,21.767582,901,699,233.260805,55.597542,5.931066,-4.204580,5.915103,-0.434853,0.894299,5.738705,-0.894341,5.738947,141.896164,444.115835,45,10186.753245,oceanic
146.032381,22.141082,901,699,222.215495,55.597542,5.745389,6.720046,5.705917,0.672315,1.782590,5.485837,-1.782658,5.486062,140.959549,388.518293,45,10186.753245,oceanic
145.631629,22.476552,901,699,222.063368,55.597542,5.559721,6.948037,5.518892,0.672555,1.598517,5.485598,-1.598652,5.486062,140.154907,332.920752,45,10186.753245,oceanic
145.228933,22.811027,901,699,221.908329,55.597542,5.373800,7.187756,5.331569,0.672376,1.414444,5.485776,-1.414524,5.486062,139.346054,277.323210,45,10186.753245,oceanic
144.841200,23.160238,901,699,227.613354,55.597542,5.186922,1.498288,5.185149,0.135623,0.663662,5.590905,-0.663683,5.591116,138.603149,221.725668,45,10186.753245,oceanic
144.473571,23.529117,901,699,227.467676,55.597542,4.998802,1.556752,4.996957,0.135803,0.479360,5.590725,-0.479394,5.591116,137.854004,166.128126,45,10186.753245,oceanic
144.103878,23.897127,901,699,227.319000,55.597542,4.810331,1.614836,4.808421,0.135557,0.295057,5.590971,-0.295068,5.591116,137.162643,110.530584,45,10186.753245,oceanic
143.735270,24.266918,901,699,227.797053,82.731813,4.621458,1.033961,4.620705,0.083394,0.049380,5.593298,-0.049381,5.593450,135.678207,54.933042,45,10186.753245,oceanic
149.287203,-7.101507,849,69702,352.160151,27.798771,10.652589,67.197461,4.128479,9.820046,-0.919302,-5.695705,0.919302,-5.695705,,0.000000,2,1026.424204,oceanic
148.787973,-7.169442,849,69702,352.222164,75.576251,10.412496,70.576115,3.462720,9.819860,-1.607503,-5.695518,1.607554,-5.695705,,55.597542,2,1026.424204,oceanic
148.291129,-7.208794,615,69702,17.959349,35.618833,3.847526,48.016055,2.573696,2.859990,0.390112,-6.090159,-0.390112,-6.090210,,96.401393,31,104.221455,oceanic
147.811863,-7.054375,615,69702,18.018850,68.602622,2.455257,49.369716,1.598803,1.863361,-0.297964,-6.090019,0.297971,-6.090210,,40.803851,31,104.221455,continental
172.598783,-23.241155,801,827,8.251979,27.798771,7.631980,65.974459,3.107314,6.970776,-1.355516,-5.856824,1.355516,-5.856824,31.594971,0.000000,11,3967.120756,oceanic
