time_Ma,lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,bab_on,dist_to_backarc_ridge_km,backarc_spreading_cm_yr,dilat_rate_1e-15_s,dilat_in_network
0.000000,-175.700229,-14.483651,901,821,171.639001,57.851136,-15.554780,98.288364,-2.242303,15.392311,1.108955,-9.529052,-1.108964,-9.529132,101.717209,389.182793,37,3754.768345,1,55.359008,6.777789,0.000000,0.000000
0.000000,-175.563404,-27.287070,901,821,288.917098,55.597542,8.992698,-18.691040,8.518427,-2.881844,2.501619,3.426370,-2.501700,3.426482,100.215012,569.839780,37,3754.768345,1,402.035234,3.434725,0.000000,0.000000
0.000000,-175.429711,50.673188,901,111,353.638519,55.597542,6.659245,-39.713661,5.122606,-4.254933,2.096700,-0.608631,-2.097825,-0.608957,55.258858,1551.977386,38,10186.753245,0,,,0.000000,0.000000
0.000000,-175.414492,-26.808274,901,821,273.199871,55.597542,9.248793,-2.608476,9.239210,-0.420920,3.557698,2.575827,-3.557776,2.575881,98.549217,625.437322,37,3754.768345,1,363.493738,3.434725,0.000000,0.000000
0.000000,-175.383357,-26.309050,901,821,273.185951,55.597542,9.514520,-2.534802,9.505211,-0.420791,3.788472,2.575698,-3.788743,2.575881,97.204987,681.034864,37,3754.768345,1,320.540772,3.434725,0.000000,0.000000
0.000000,-175.352490,-25.809820,901,821,273.172390,55.597542,9.779836,-2.466388,9.770776,-0.420859,4.019247,2.575766,-4.019421,2.575881,95.860703,736.632406,37,3754.768345,1,282.038150,3.434725,0.000000,0.000000
0.000000,-175.295773,-25.313083,901,821,278.934605,55.597542,10.043104,-8.116595,9.942500,-1.417966,3.968755,2.980158,-3.968980,2.980319,94.637993,792.229948,37,3754.768345,1,252.401269,3.434725,0.000000,0.000000
0.000000,-175.210219,-24.819125,901,821,278.898358,55.597542,10.304218,-7.908595,10.206213,-1.417790,4.198569,2.979982,-4.199049,2.980319,93.292824,847.827490,37,3754.768345,1,235.326190,3.434725,0.000000,0.000000
0.000000,-175.189473,-14.410396,901,821,171.511574,53.343948,-15.591516,99.172511,-2.485406,15.392145,0.890112,-9.528886,-0.890133,-9.529132,104.843307,444.780335,37,3754.768345,1,67.151092,6.777789,0.000000,0.000000
0.000000,-175.125344,-24.325119,901,821,278.863064,55.597542,10.565038,-7.712430,10.469468,-1.417841,4.428384,2.980033,-4.428798,2.980319,91.948105,903.425031,37,3754.768345,1,221.690217,3.611302,0.000000,0.000000
0.000000,-175.041128,-23.831067,901,821,278.828705,35.882092,10.825550,-7.527230,10.732263,-1.418118,4.658198,2.980311,-4.658210,2.980319,89.866646,959.022573,37,3754.768345,1,208.043730,3.787605,0.000000,0.000000
0.000000,-174.784388,-23.390553,901,821,298.590005,75.312992,11.059080,-26.779390,9.872971,-4.982740,3.597017,4.387767,-3.597183,4.387958,87.941261,1014.620115,37,3754.768345,1,215.558900,4.129095,0.000000,0.000000
0.000000,-174.679056,-14.336044,901,821,171.384869,55.597542,-15.632070,100.051460,-2.728306,15.392139,0.671214,-9.528880,-0.671234,-9.529132,106.385101,500.377877,37,3754.768345,1,110.163618,6.777789,0.000000,0.000000
0.000000,-174.644708,50.725954,901,111,354.245986,55.597542,6.629513,-39.926778,5.083943,-4.254875,2.097768,-0.608688,-2.098695,-0.608957,55.513187,1607.574928,38,10186.753245,0,,,0.000000,0.000000
0.000000,-174.524551,-22.951305,901,821,298.487765,55.597542,11.292216,-26.182304,10.133574,-4.982450,3.825587,4.387477,-3.826013,4.387958,90.612556,1070.217657,37,3754.768345,1,229.666855,4.129095,0.000000,0.000000
0.000000,-174.266397,-22.511637,901,821,298.388010,55.597542,11.526239,-25.611963,10.393698,-4.982494,4.054157,4.387521,-4.054551,4.387958,91.202095,1125.815199,37,3754.768345,1,245.637340,4.364116,0.000000,0.000000
0.000000,-174.178919,-14.380978,901,821,197.889249,55.597542,15.617644,74.288043,4.229279,15.034095,4.662894,-8.263992,-4.663032,-8.264239,107.095634,555.975419,37,3754.768345,1,134.285278,7.002992,0.000000,0.000000
0.000000,-174.009880,-22.071561,901,821,298.290707,55.597542,11.761064,-25.066844,10.653338,-4.982872,4.282727,4.387900,-4.282781,4.387958,91.915100,1181.412741,37,3754.768345,1,257.930373,4.631637,0.000000,0.000000
0.000000,-173.858024,50.773439,901,111,354.855190,55.597542,6.599670,-40.142778,5.045054,-4.254771,2.098836,-0.608792,-2.099406,-0.608957,56.315464,1663.172470,38,10186.753245,0,,,0.000000,0.000000
0.000000,-173.813162,-21.606536,901,821,290.614161,55.597542,12.006196,-17.076857,11.476863,-3.525670,5.052984,3.779274,-5.053393,3.779574,92.907608,1237.010283,37,3754.768345,1,264.896369,4.631637,0.000000,0.000000
0.000000,-173.687362,-14.534059,901,821,197.766526,55.597542,15.553600,75.149872,3.986256,15.034103,4.443587,-8.264000,-4.443719,-8.264239,107.446793,611.572960,37,3754.768345,1,187.242189,7.002992,0.000000,0.000000
0.000000,-173.624428,-21.138443,901,821,290.545381,55.597542,12.252564,-16.722973,11.734369,-3.525608,5.280394,3.779212,-5.280896,3.779574,93.899765,1292.607825,37,3754.768345,1,273.501983,4.806336,0.000000,0.000000
0.000000,-173.436883,-20.670143,901,821,290.478462,55.597542,12.498991,-16.384953,11.991383,-3.525834,5.507804,3.779438,-5.507996,3.779574,94.782051,1348.205366,37,3754.768345,1,285.451373,4.994759,0.000000,0.000000
0.000000,-173.256584,-20.199572,901,821,289.381156,55.597542,12.745433,-15.039727,12.308852,-3.307296,5.801799,3.678071,-5.801993,3.678193,95.659233,1334.341005,37,3754.768345,1,299.354599,5.012508,0.000000,0.000000
0.000000,-173.222701,-14.743517,901,821,212.196989,55.597542,15.464383,61.430595,7.395423,13.581416,6.160848,-6.910521,-6.160966,-6.910653,107.182137,667.170502,37,3754.768345,1,239.214536,7.002992,0.000000,0.000000
0.000000,-173.080315,-19.727818,901,821,289.320972,55.597542,12.991817,-14.748207,12.563788,-3.307349,6.028120,3.678124,-6.028231,3.678193,96.527428,1278.743463,37,3754.768345,1,315.309271,5.012508,0.000000,0.000000
0.000000,-173.069830,50.815621,901,111,355.465953,55.597542,6.569721,-40.361696,5.005940,-4.254621,2.099904,-0.608942,-2.099956,-0.608957,57.431698,1718.770011,38,10186.753245,0,,,0.000000,0.000000
0.000000,-172.918774,-19.251655,901,821,287.054244,55.597542,13.238934,-12.284515,12.935803,-2.816799,6.391214,3.439971,-6.391482,3.440114,97.496544,1223.145921,37,3754.768345,1,338.395678,5.012508,0.000000,0.000000
0.000000,-172.784647,-15.009519,901,821,212.084523,55.597542,15.349410,62.230030,7.151642,13.581546,5.940843,-6.910651,-5.940845,-6.910653,107.662971,722.768044,37,3754.768345,1,290.730521,7.002992,0.000000,0.000000
0.000000,-172.763898,-18.773576,901,821,287.003788,55.597542,13.486198,-12.055954,13.188747,-2.816819,6.616539,3.439991,-6.616772,3.440114,98.388710,1167.548379,37,3754.768345,1,367.978075,5.012508,0.000000,0.000000
0.000000,-172.618809,-18.292971,901,821,284.712975,55.597542,13.733461,-9.609922,13.540741,-2.292657,6.970876,3.173351,-6.971123,3.173462,99.293747,1111.950837,37,3754.768345,1,395.046089,5.358701,0.000000,0.000000
0.000000,-172.485430,-17.809320,901,821,284.671646,55.597542,13.980703,-9.438109,13.791451,-2.292585,7.194968,3.173280,-7.195379,3.173462,100.253471,1056.353295,37,3754.768345,1,413.699781,5.358701,0.000000,0.000000
0.000000,-172.428335,-15.372371,901,821,226.580865,55.597542,15.185910,48.323074,10.097561,11.342448,7.269361,-5.191617,-7.269453,-5.191683,107.491089,778.365586,37,3754.768345,1,329.268612,6.647824,0.000000,0.000000
0.000000,-172.352773,-17.325579,901,821,284.631606,55.597542,14.227610,-9.273556,14.041658,-2.292756,7.419059,3.173450,-7.419087,3.173462,101.515625,1000.755754,37,3754.768345,1,395.876000,6.647824,0.000000,0.000000
0.000000,-172.337181,-16.826341,901,821,271.161098,55.597542,14.474828,4.130558,14.437230,1.042613,8.176184,1.356299,-8.176992,1.356431,103.047585,945.158212,37,3754.768345,1,371.355970,6.647824,0.000000,0.000000
0.000000,-172.326623,-16.326443,901,821,271.158086,55.597542,14.721616,4.061340,14.684647,1.042650,8.398453,1.356263,-8.399494,1.356431,104.301926,889.560670,37,3754.768345,1,353.388645,6.647824,0.000000,0.000000
0.000000,-172.318485,50.970638,901,111,340.887254,55.597542,6.533828,-25.358515,5.904265,-2.798314,1.867670,-1.136808,-1.867988,-1.137001,63.205540,1774.367553,38,10186.753245,0,,,0.000000,0.000000
0.000000,-172.316120,-15.826545,901,821,271.155177,55.597542,14.967939,3.994138,14.931585,1.042583,8.620721,1.356329,-8.621355,1.356431,105.532387,833.963128,37,3754.768345,1,343.569172,6.647824,0.000000,0.000000
0.000000,-171.565619,51.131939,901,111,341.472769,55.597542,6.497125,-25.513276,5.863562,-2.798443,1.867714,-1.136679,-1.868244,-1.137001,62.477463,1829.965095,38,10186.753245,0,,,0.000000,0.000000
0.000000,-170.807555,51.288373,901,111,342.063646,55.597542,6.460159,-25.670270,5.822553,-2.798486,1.867758,-1.136636,-1.868358,-1.137001,61.748837,1885.562637,38,10186.753245,0,,,0.000000,0.000000
0.000000,-170.044390,51.439879,901,111,342.659780,55.597542,6.422932,-25.829546,5.781244,-2.798441,1.867802,-1.136680,-1.868329,-1.137001,61.019436,1941.160179,38,10186.753245,0,,,0.000000,0.000000
0.000000,-169.276229,51.586398,901,111,343.261063,55.597542,6.385450,-25.991151,5.739637,-2.798311,1.867846,-1.136811,-1.868158,-1.137001,60.289284,1890.316423,38,10186.753245,0,,,0.000000,0.000000
0.000000,-168.505986,51.732912,901,111,338.144444,55.597542,6.347478,-20.431493,5.948160,-2.215823,1.745159,-1.317494,-1.745206,-1.317529,59.460205,1834.718881,38,10186.753245,0,,,0.000000,0.000000
0.000000,-167.753611,51.916652,901,111,338.735908,55.597542,6.307234,-20.570397,5.905093,-2.216097,1.744347,-1.317220,-1.744756,-1.317529,58.515434,1779.121340,38,10186.753245,0,,,0.000000,0.000000
0.000000,-166.995135,52.095556,901,111,339.333649,55.597542,6.266696,-20.711251,5.861708,-2.216270,1.743535,-1.317046,-1.744173,-1.317529,57.573189,1723.523798,38,10186.753245,0,,,0.000000,0.000000
0.000000,-166.230635,52.269554,901,111,339.937584,55.597542,6.225868,-20.854102,5.818011,-2.216344,1.742722,-1.316973,-1.743458,-1.317529,56.651604,1667.926256,38,10186.753245,0,,,0.000000,0.000000
0.000000,-165.460197,52.438577,901,111,340.547621,55.597542,6.184753,-20.999002,5.774003,-2.216317,1.741910,-1.317000,-1.742609,-1.317529,55.796535,1612.328714,38,10186.753245,0,,,0.000000,0.000000
0.000000,-164.683915,52.602555,901,111,341.163661,55.597542,6.143355,-21.146000,5.729688,-2.216189,1.741098,-1.317128,-1.741628,-1.317529,55.230103,1556.731172,38,10186.753245,0,,,0.000000,0.000000
0.000000,-163.901889,52.761420,901,111,341.785597,55.597542,6.101679,-21.295149,5.685069,-2.215961,1.740286,-1.317356,-1.740515,-1.317529,54.665630,1501.133630,38,10186.753245,0,,,0.000000,0.000000
0.000000,-163.128317,52.937512,901,111,336.076941,55.597542,6.058818,-15.105262,5.849478,-1.578887,1.583397,-1.501065,-1.583525,-1.501187,53.988464,1445.536088,38,10186.753245,0,,,0.000000,0.000000
0.000000,-162.366424,53.137839,901,111,336.685721,55.597542,6.014465,-15.221296,5.803472,-1.579085,1.581821,-1.500867,-1.582158,-1.501187,53.493050,1389.938547,38,10186.753245,0,,,0.000000,0.000000
0.000000,-161.597481,53.333259,901,111,337.301728,55.597542,5.969797,-15.338812,5.757144,-1.579169,1.580244,-1.500783,-1.580670,-1.501187,53.072994,1334.341005,38,10186.753245,0,,,0.000000,0.000000
0.000000,-160.821551,53.523691,901,111,337.924893,55.597542,5.924818,-15.457854,5.710498,-1.579138,1.578668,-1.500814,-1.579061,-1.501187,52.712139,1278.743463,38,10186.753245,0,,,0.000000,0.000000
0.000000,-160.038706,53.709054,901,111,338.555136,55.597542,5.879530,-15.578466,5.663537,-1.578994,1.577092,-1.500958,-1.577332,-1.501187,52.442810,1223.145921,38,10186.753245,0,,,0.000000,0.000000
0.000000,-159.254867,53.896473,901,111,329.756877,55.597542,5.833768,-6.262990,5.798950,-0.636419,1.308205,-1.739075,-1.308209,-1.739080,52.157303,1167.548379,38,10186.753245,0,,,0.000000,0.000000
0.000000,-158.524519,54.152819,901,111,326.249367,55.597542,5.786014,-2.208831,5.781715,-0.223004,1.178606,-1.828010,-1.178615,-1.828025,51.791000,1111.950837,38,10186.753245,0,,,0.000000,0.000000
0.000000,-157.810767,54.429260,901,111,322.625611,55.597542,5.737638,1.976885,5.734223,0.197927,1.039414,-1.909347,-1.039415,-1.909349,51.588882,1056.353295,38,10186.753245,0,,,0.000000,0.000000
0.000000,-157.122622,54.730827,901,111,323.186402,55.597542,5.688809,1.993834,5.685365,0.197925,1.037279,-1.909345,-1.037282,-1.909349,51.409199,1000.755754,38,10186.753245,0,,,0.000000,0.000000
0.000000,-156.411926,55.018263,901,111,331.541777,55.597542,5.639539,-5.775241,5.610914,-0.567486,1.283818,-1.751731,-1.283822,-1.751735,,945.158212,38,10186.753245,0,,,0.000000,0.000000
0.000000,-155.640632,55.254096,901,111,332.174638,55.597542,5.590067,-5.826665,5.561187,-0.567500,1.281505,-1.751717,-1.281518,-1.751735,,889.560670,38,10186.753245,0,,,0.000000,0.000000
