Short_Name,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,UPN,Geodetic_UPS,Seismic_UPS,M56_SP_Name,M56_UP_Name,M56_ARC_Name,M56_ARC_ref,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,alphaS,alphaD,A,Phi,join_distance_km,muller_row,muller_lon,muller_lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature,UPS_3,M56_vc_cm_yr,M56_vcn_cm_yr,M56_vs_cm_yr,M56_vsn_cm_yr,M56_vd_cm_yr,M56_vdn_cm_yr
SAM32,SAM,32,Antilles,302.300000,14.000000,304.900000,14.900000,294.500000,11.200000,251.000000,2,Neutral,-999,SOUTH_AMERICA,CARIBBEAN,-999,-999,20.000000,253.000000,2.000000,20.000000,20.000000,253.000000,2.000000,20.000000,0.000000,-999.000000,-999.000000,0.000000,16.000000,45.000000,85.000000,835.000000,36.693582,771,-57.428599,13.801284,201,2011,258.966643,55.597542,1.456859,12.468733,1.422497,0.314546,0.924536,1.112602,-0.924656,1.112747,82.706902,352.752357,28,703.251106,oceanic,N,2.000000,2.000000,2.000000,2.000000,0.000000,0.000000
SAM33,SAM,33,Antilles,302.600000,12.000000,305.300000,11.600000,294.400000,13.000000,278.000000,2,Neutral,-999,SOUTH_AMERICA,CARIBBEAN,-999,-999,20.000000,253.000000,25.000000,18.000000,20.000000,253.000000,25.000000,18.000000,0.000000,-999.000000,-999.000000,0.000000,13.000000,44.000000,93.000000,770.000000,22.332924,775,-57.519094,11.836415,201,2011,280.572127,55.597542,1.508211,-9.118294,1.489152,-0.239011,0.499665,1.382100,-0.499724,1.382266,130.734177,130.362189,28,703.251106,oceanic,N,2.000000,1.800000,2.000000,1.800000,0.000000,0.000000
SAM34,SAM,34,Andean,281.900000,5.000000,279.400000,6.000000,289.300000,1.800000,113.000000,1,SS-C,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),59.000000,76.000000,37.000000,47.000000,51.000000,77.000000,36.000000,41.000000,8.000000,67.000000,46.000000,6.000000,26.000000,41.000000,14.000000,314.000000,24.024782,756,-77.965951,4.830163,911,2031,105.433343,47.003578,7.086560,-27.597402,6.280284,-3.282891,0.713028,-0.943818,-0.713035,-0.943827,10.132481,19.204807,25,6884.559025,continental,SS,5.900000,4.700000,5.100000,4.100000,0.800000,0.600000
SAM35,SAM,35,Andean,280.900000,3.500000,278.600000,4.800000,287.900000,-1.400000,120.000000,1,SS-C,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),60.000000,77.000000,43.000000,43.000000,52.000000,78.000000,42.000000,38.000000,8.000000,67.000000,53.000000,5.000000,26.000000,39.000000,12.000000,243.000000,31.152986,494,-79.177095,3.230613,911,201,129.277065,55.597542,7.543744,-49.409329,4.908341,-5.728547,1.337297,-0.400705,-1.337305,-0.400708,11.588954,210.212169,25,6884.559025,continental,SS,6.000000,4.300000,5.200000,3.800000,0.800000,0.500000
SAM36,SAM,36,Andean,279.900000,2.000000,277.500000,3.100000,287.200000,-1.400000,115.000000,1,SS-C,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),61.000000,77.000000,38.000000,48.000000,52.000000,79.000000,36.000000,42.000000,8.000000,68.000000,47.000000,6.000000,24.000000,34.000000,12.000000,243.000000,4.936900,491,-80.059275,2.017741,911,201,121.178194,55.597542,7.633316,-40.655215,5.790968,-4.973149,1.252344,-0.582907,-1.252349,-0.582910,11.428369,377.004794,25,6884.559025,continental,SS,6.100000,4.800000,5.200000,4.200000,0.800000,0.600000
SAM37,SAM,37,Andean,279.000000,0.000000,276.400000,0.800000,286.700000,-2.400000,107.000000,1,C-SS,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),62.000000,78.000000,29.000000,54.000000,54.000000,80.000000,27.000000,48.000000,8.000000,69.000000,38.000000,7.000000,21.000000,34.000000,16.000000,352.000000,26.252178,487,-80.935164,0.227014,911,201,112.680865,55.597542,7.767860,-31.469050,6.625381,-4.055118,1.130630,-0.759912,-1.130638,-0.759918,15.119756,389.182793,25,6884.559025,continental,C,6.200000,5.400000,5.400000,4.800000,0.800000,0.700000
SAM38,SAM,38,Andean,278.500000,-2.000000,275.900000,-1.400000,286.400000,-3.700000,102.000000,1,C-SS,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),63.000000,79.000000,23.000000,58.000000,55.000000,81.000000,21.000000,51.000000,8.000000,69.000000,33.000000,7.000000,16.000000,52.000000,23.000000,624.000000,20.842028,500,-81.549523,-2.180785,911,201,99.699224,46.414259,7.946387,-17.929061,7.560498,-2.446210,0.901570,-0.992284,-0.901571,-0.992286,21.174032,111.195084,25,6884.559025,continental,C,6.300000,5.800000,5.500000,5.100000,0.800000,0.700000
SAM39,SAM,39,Andean,278.100000,-4.000000,275.400000,-3.900000,286.200000,-4.100000,91.000000,1,C-SS,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),64.000000,79.000000,12.000000,63.000000,56.000000,81.000000,10.000000,55.000000,9.000000,69.000000,22.000000,8.000000,10.000000,52.000000,30.000000,793.000000,19.746584,399,-81.824566,-4.160857,911,201,99.447214,55.597542,8.086383,-17.375536,7.717385,-2.414864,0.872019,-0.997128,-0.872038,-0.997150,30.591166,111.195084,25,6884.559025,continental,C,6.400000,6.300000,5.600000,5.500000,0.900000,0.800000
SAM4,SAM,4,Central America,260.000000,16.300000,258.600000,13.900000,264.400000,23.300000,30.400000,1,SS-E,-999,COCOS,NORTH_AMERICA,SOUTHERN MEXICO,"Andreani et al., (2008)",67.000000,32.000000,2.000000,67.000000,69.000000,24.000000,6.000000,69.000000,10.000000,133.000000,103.000000,-2.000000,17.000000,67.000000,8.000000,335.000000,19.639924,45,-100.154579,16.395891,909,101,21.398489,55.597542,5.959892,18.472598,5.652810,1.888398,0.644148,-0.725775,-0.644163,-0.725791,12.045720,111.195084,0,677.024314,continental,SS,6.700000,6.700000,6.900000,6.900000,1.000000,-0.200000
SAM40,SAM,40,Andean,278.100000,-5.500000,275.400000,-5.800000,286.200000,-4.500000,82.900000,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Jarrin et al. (2023),65.000000,80.000000,3.000000,65.000000,62.000000,76.000000,7.000000,62.000000,5.000000,130.000000,47.000000,3.000000,10.000000,50.000000,30.000000,874.000000,30.140537,402,-81.671381,-5.647309,911,201,82.497487,55.597542,8.071723,-0.853307,8.070828,-0.120208,0.406671,-1.146193,-0.524541,-1.207391,29.843817,277.987709,25,6884.559025,continental,SS,6.500000,6.500000,6.200000,6.200000,0.500000,0.300000
SAM41,SAM,41,Andean,278.400000,-7.000000,275.800000,-7.900000,286.100000,-4.300000,71.400000,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Villegas-Lanza et al. (2016),66.000000,80.000000,8.000000,66.000000,64.000000,77.000000,6.000000,64.000000,4.000000,133.000000,62.000000,2.000000,10.000000,50.000000,29.000000,872.000000,20.413432,405,-81.474020,-7.134431,911,201001,82.475517,55.597542,8.040128,-1.334703,8.037947,-0.187278,0.256772,-1.079108,-0.228274,-1.064519,29.214695,444.780335,25,6884.559025,continental,SS,6.600000,6.600000,6.400000,6.400000,0.400000,0.200000
SAM42,SAM,42,Andean,279.200000,-9.000000,276.700000,-10.200000,286.500000,-5.400000,64.000000,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Villegas-Lanza et al. (2016),67.000000,79.000000,15.000000,65.000000,65.000000,76.000000,12.000000,63.000000,4.000000,128.000000,64.000000,2.000000,10.000000,48.000000,29.000000,837.000000,8.649123,409,-80.724345,-8.978406,911,201002,65.224262,55.597542,8.065086,15.888734,7.756961,2.207980,-0.198351,-1.116949,0.239614,-1.135618,29.117878,667.170502,25,6884.559025,continental,SS,6.700000,6.500000,6.500000,6.300000,0.400000,0.200000
SAM43,SAM,43,Andean,280.400000,-11.000000,278.000000,-12.400000,287.400000,-6.800000,58.900000,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Villegas-Lanza et al. (2016),68.000000,79.000000,20.000000,64.000000,65.000000,76.000000,17.000000,63.000000,5.000000,123.000000,64.000000,2.000000,11.000000,47.000000,41.000000,1191.000000,22.605280,414,-79.436579,-11.124921,911,201002,56.087118,55.597542,8.122820,24.812601,7.372964,3.408755,-0.487668,-1.088831,0.445711,-1.082922,39.816566,945.158212,25,6884.559025,continental,SS,6.800000,6.400000,6.500000,6.300000,0.500000,0.200000
SAM44,SAM,44,Andean,281.700000,-13.000000,279.400000,-14.500000,288.500000,-8.400000,55.500000,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Villegas-Lanza et al. (2016),70.000000,78.000000,23.000000,64.000000,66.000000,76.000000,20.000000,62.000000,5.000000,118.000000,62.000000,2.000000,11.000000,47.000000,43.000000,1229.000000,24.205203,418,-78.292515,-12.782440,911,201003,55.850126,55.597542,8.169070,24.729290,7.419921,3.417379,-0.566792,-1.097454,0.611425,-1.105811,41.246124,1167.548379,25,6884.559025,continental,SS,7.000000,6.400000,6.600000,6.200000,0.500000,0.200000
SAM45,SAM,45,Andean,283.400000,-15.000000,281.200000,-16.700000,289.700000,-9.700000,50.000000,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Villegas-Lanza et al. (2016),70.000000,77.000000,27.000000,63.000000,67.000000,75.000000,25.000000,60.000000,5.000000,112.000000,62.000000,2.000000,11.000000,52.000000,45.000000,1321.000000,28.089098,424,-76.367410,-15.115609,911,201004,45.453982,55.597542,8.240955,34.743862,6.771659,4.696592,-0.864915,-1.017195,0.895022,-1.051735,44.768356,1501.133630,25,6884.559025,continental,SS,7.000000,6.300000,6.700000,6.000000,0.500000,0.200000
SAM46,SAM,46,Andean,285.900000,-17.000000,284.100000,-19.100000,291.000000,-10.600000,37.800000,1,C-SS,-999,NAZCA,SOUTH_AMERICA,ALTIPLANO,Argus et al. (2011),71.000000,76.000000,38.000000,56.000000,60.000000,75.000000,38.000000,47.000000,12.000000,79.000000,41.000000,9.000000,16.000000,54.000000,46.000000,1173.000000,13.080245,430,-74.025838,-17.093863,911,201005,38.489607,55.597542,8.178386,40.298461,6.237538,5.289529,-1.097830,-0.785961,1.114270,-0.738232,51.713516,1834.718881,25,6884.559025,continental,C,7.100000,5.600000,6.000000,4.700000,1.200000,0.900000
SAM47,SAM,47,Andean,288.000000,-19.000000,285.600000,-20.500000,294.900000,-14.300000,56.400000,1,C,-999,NAZCA,SOUTH_AMERICA,ALTIPLANO,Argus et al. (2011),72.000000,75.000000,19.000000,68.000000,59.000000,75.000000,19.000000,56.000000,14.000000,73.000000,17.000000,13.000000,20.000000,39.000000,53.000000,1441.000000,25.580675,435,-72.126296,-18.803411,911,201007,45.546155,55.597542,8.213288,32.904114,6.895719,4.461743,-1.082035,-0.978270,1.008481,-1.012978,54.736050,2112.706591,25,6884.559025,continental,C,7.200000,6.800000,5.900000,5.600000,1.400000,1.300000
SAM48,SAM,48,Andean,288.700000,-21.000000,285.800000,-21.200000,297.300000,-19.900000,84.400000,1,C,-999,NAZCA,SOUTH_AMERICA,ALTIPLANO,Argus et al. (2011),73.000000,75.000000,10.000000,72.000000,58.000000,75.000000,9.000000,57.000000,15.000000,73.000000,11.000000,15.000000,18.000000,37.000000,53.000000,1376.000000,13.109126,440,-71.186068,-21.050884,911,201010,90.326772,55.597542,8.325044,-10.557352,8.184117,-1.525312,0.001328,-1.700833,0.004883,-1.720012,54.598495,2000.048900,25,6884.559025,continental,C,7.300000,7.200000,5.800000,5.700000,1.500000,1.500000
SAM49,SAM,49,Andean,288.700000,-23.000000,285.800000,-22.700000,297.500000,-23.500000,94.700000,1,SS-C,-999,NAZCA,SOUTH_AMERICA,CENTRAL ANDES,Brooks et al. (2003),73.000000,75.000000,20.000000,69.000000,72.000000,71.000000,24.000000,65.000000,5.000000,35.000000,60.000000,3.000000,16.000000,41.000000,51.000000,1544.000000,6.361493,444,-71.265897,-23.047832,911,201011,95.237979,55.597542,8.406374,-15.775758,8.089732,-2.285467,0.147566,-1.628700,-0.134998,-1.639431,51.019203,1777.658732,25,6884.559025,continental,SS,7.300000,6.900000,7.200000,6.500000,0.500000,0.300000
SAM5,SAM,5,Central America,262.000000,15.600000,261.100000,13.000000,264.700000,23.300000,17.800000,1,SS-E,-999,COCOS,NORTH_AMERICA,SOUTHERN MEXICO,"Andreani et al., (2008)",70.000000,32.000000,14.000000,68.000000,71.000000,25.000000,7.000000,71.000000,9.000000,123.000000,106.000000,-2.000000,19.000000,61.000000,12.000000,511.000000,135.788641,43,-99.199165,15.999861,909,101,27.428625,27.798771,6.209670,12.020784,6.073505,1.293266,0.679589,-0.659793,-0.679589,-0.659793,12.653730,0.000000,0,677.024314,continental,SS,7.000000,6.800000,7.100000,7.100000,0.900000,-0.200000
