time_Ma,segment,geo_ups,geo_zone,n_samples,n_age,median_age_Ma,median_width_km,median_edge_km,median_lon,median_lat,is_E,is_C,age_ge_55,edge_near
4.0,NewHebrides,E,North_Fiji_Basin,33,31,34.880814,3427.951099,166.792626,169.140345,-15.121842,1,0,0.0,1
4.0,Scotia,E,East_Scotia_Ridge,13,13,46.152824,715.443449,166.792626,-28.502082,-58.270104,1,0,0.0,1
4.0,Tonga,E,Lau_Basin,30,26,90.4341315,4427.608447,461.5165495,-175.97083700000002,-18.473476,1,0,1.0,1
5.0,Andes,C,Central_Andes_shortening,47,47,56.280815,7146.727411,198.539687,-72.349795,-20.562715,0,1,1.0,1
5.0,Calabria,E,Tyrrhenian_Calabria,27,2,224.5180435,6848.758474,232.906444,14.586739,39.892528,1,0,1.0,1
5.0,Cascadia,N,Cascadia_no_backarc,27,20,5.937336999999999,1451.725153,339.774316,-124.525159,46.352307,0,0,0.0,1
5.0,Hellenic,E,Aegean_rifting,26,22,247.450035,6848.758474,611.2889825,21.953679,34.0069365,1,0,1.0,1
5.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,23,23,122.07193,10064.739596,667.170502,144.132265,29.383921,0,0,1.0,1
5.0,Japan,N,Japan_post_opening_neutral,29,29,116.936012,1058.165003,370.18165,143.41423,38.49029,0,0,1.0,1
5.0,Kermadec,E,Havre_Trough,30,19,104.851013,3055.63435,260.3512855,-177.24168200000003,-33.384161,1,0,1.0,1
5.0,Mariana,E,Mariana_Trough,35,34,126.3288765,10064.739596,500.377877,146.781599,16.329146,1,0,1.0,1
5.0,NewHebrides,E,North_Fiji_Basin,27,24,33.240162,3169.754744,136.682778,169.376118,-13.450631,1,0,0.0,1
5.0,Scotia,E,East_Scotia_Ridge,13,13,48.536064,697.704154,166.792626,-29.369412,-58.306367,1,0,0.0,1
5.0,Tonga,E,Lau_Basin,31,27,88.203568,3055.63435,422.225188,-176.259024,-19.324843,1,0,1.0,1
6.0,Andes,C,Central_Andes_shortening,46,46,58.6695725,7177.567091,1541.8409735,-72.3783235,-20.6994645,0,1,1.0,0
6.0,Calabria,E,Tyrrhenian_Calabria,26,3,225.54538,6722.608771,223.128155,15.2853,39.5353805,1,0,1.0,1
6.0,Cascadia,N,Cascadia_no_backarc,28,20,7.2699345,1437.859011,191.041056,-124.26076649999999,46.349959999999996,0,0,0.0,1
6.0,Hellenic,E,Aegean_rifting,25,21,255.196823,6722.608771,611.57296,22.549977,33.909175,1,0,1.0,1
